NCTNumber,InterventionDescription,impurity,clean_text
NCT05467306,"Pharmacies randomized to the nurse-navigator model will receive tailored support counseling, in addition to receipt of standard PrEP services. Support counseling by nurse-navigators will provide educational messaging tailored to AGYW and actionable advice targeting PrEP persistence and adherence and/or FP topics, and will address participants' questions related to the content. Counseling will include adherence encouragement (IMB domain: motivation), PrEP efficacy and safety (IMB domain: information), self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills (tips for remembering PrEP medications, IMB domain: behavioral skills) and strategies for remembering PrEP refill schedules. During enrollment, the nurse-navigator will explain that support counseling is voluntary and that the nurse will also be available at the pharmacy to address concerns or questions whenever they arise outside of scheduled visits.",0.0,"Pharmacies randomized to the nurse-navigator model will receive tailored support counseling, in addition to receipt of standard PrEP services. Support counseling by nurse-navigators will provide educational messaging tailored to AGYW and actionable advice targeting PrEP persistence and adherence and/or FP topics, and will address participants' questions related to the content. Counseling will include adherence encouragement IMB domain motivation, PrEP efficacy and safety IMB domain information, self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills tips for remembering PrEP medications, IMB domain behavioral skills and strategies for remembering PrEP refill schedules. During enrollment, the nurse-navigator will explain that support counseling is voluntary and that the nurse will also be available at the pharmacy to address concerns or questions whenever they arise outside of scheduled visits."
NCT05383755,"The newly developed digital intervention will include SMS for reminder purposes and Web-based components such as virtual simulations, gamified elements, and didactic content to educate and build relevant skills (e.g., disclosure self-efficacy) to facilitate social support from caregiving family members. The intervention will (1) raise awareness about the intersecting stigmas of HIV and pregnancy; (2) highlight the effects of these stigmas on disclosure and social support; and (3) increase self-efficacy and communication skills for disclosure and enlistment of family members as social support allies. The goal of the intervention is to improve PMTCT engagement among pregnant unmarried ALHIV. Our theory-informed Web-based intervention will be use 3C Institute's Dynamic e-Learning Platform (DeLP), a customizable software platform that implements the evidence-based cognitive theory of multimedia learning (CTML) to effectively engage users.",0.0,"The newly developed digital intervention will include SMS for reminder purposes and Web-based components such as virtual simulations, gamified elements, and didactic content to educate and build relevant skills e.g., disclosure self-efficacy to facilitate social support from caregiving family members. The intervention will  raise awareness about the intersecting stigmas of HIV and pregnancy  highlight the effects of these stigmas on disclosure and social support and  increase self-efficacy and communication skills for disclosure and enlistment of family members as social support allies. The goal of the intervention is to improve PMTCT engagement among pregnant unmarried ALHIV. Our theory-informed Web-based intervention will be use C Institute's Dynamic e-Learning Platform DeLP, a customizable software platform that implements the evidence-based cognitive theory of multimedia learning CTML to effectively engage users."
NCT05285670,"We will utilize a digital counseling tool on a tablet to provide initial reproductive life planning counseling while waiting for an HIV care provider. We will then use Mobile WACh, a human-computer hybrid system that enables seamless two-way SMS communication and patient tracking, to provide consistent support to women following enrollment and for up to 2 years. Women will receive automated theoretically grounded SMS messages targeting the appropriate reproductive health needs and will have the capability to respond and spontaneously message a nurse based at the clinic. . Automated SMS will be delivered at times and in languages based on patient preferences, weekly the first 3 months, every other week in months 4-12, and monthly during the last year of the trial. If there is a change in the reproductive health needs, more frequent messaging will be re-initiated at the same frequency as enrollment.",0.0,"We will utilize a digital counseling tool on a tablet to provide initial reproductive life planning counseling while waiting for an HIV care provider. We will then use Mobile WACh, a human-computer hybrid system that enables seamless two-way SMS communication and patient tracking, to provide consistent support to women following enrollment and for up to  years. Women will receive automated theoretically grounded SMS messages targeting the appropriate reproductive health needs and will have the capability to respond and spontaneously message a nurse based at the clinic. . Automated SMS will be delivered at times and in languages based on patient preferences, weekly the first  months, every other week in months -, and monthly during the last year of the trial. If there is a change in the reproductive health needs, more frequent messaging will be re-initiated at the same frequency as enrollment."
NCT05219552,"Our intervention design aims to address food insecurity and mental health by providing an unconditional cash transfer and lactation support across the perinatal period, when women are out of the workforce caring for their infant child. The study will include pregnant women living with HIV in Kisumu Kenya. The lactation support component will focus on milk insufficiency primarily as that has been a main concern of women we've worked with in this population, in addition to general breastfeeding support which will all be delivered in one-on-one sessions with a professional lactation consultant. The cash transfer will be delivered to women from their third trimester to 6 months postpartum. The amount of the cash transfer is based on preliminary data and consultation with key stakeholders to determine a reasonable and sufficient amount to basic living expenses during this period.",0.0,"Our intervention design aims to address food insecurity and mental health by providing an unconditional cash transfer and lactation support across the perinatal period, when women are out of the workforce caring for their infant child. The study will include pregnant women living with HIV in Kisumu Kenya. The lactation support component will focus on milk insufficiency primarily as that has been a main concern of women we've worked with in this population, in addition to general breastfeeding support which will all be delivered in one-on-one sessions with a professional lactation consultant. The cash transfer will be delivered to women from their third trimester to  months postpartum. The amount of the cash transfer is based on preliminary data and consultation with key stakeholders to determine a reasonable and sufficient amount to basic living expenses during this period."
NCT05147519,"To establish a group of well-characterized people living with HIV who initiated ART during acute or early HIV transmission that can serve as a source population for future studies, including those designed to test novel interventions to achieve HIV remission.",0.0,"To establish a group of well-characterized people living with HIV who initiated ART during acute or early HIV transmission that can serve as a source population for future studies, including those designed to test novel interventions to achieve HIV remission."
NCT04982250,"After a brief training, young female PrEP users will be encouraged to refer up to 4 peers to PrEP using strategies gained from the training, PrEP educational materials (i.e., brochures), HIVST kits (2 kits/peer = 8 kits total), and Kenya MOH-style referral cards.",0.0,"After a brief training, young female PrEP users will be encouraged to refer up to  peers to PrEP using strategies gained from the training, PrEP educational materials i.e., brochures, HIVST kits  kits/peer =  kits total, and Kenya MOH-style referral cards."
NCT05007717,"The DiSC intervention is comprised of a data-driven system to assign adolescents to care based on their health needs and the different levels of care for each assignment group.

The trajectory of services moves from a relative position of ALHIV autonomy to more intensive service provision. Intervention steps start with 1) multi-month refills or community treatment delivery (differentiated care); 2) a standard of care level for those with medical needs such as pregnancy or opportunistic infections or patient choice; 3) patient reminders/tracking and counseling and referral services for mental health needs; 4) case management of unsuppressed individuals, including enhanced counseling and case conference problem-solving",0.0,"The DiSC intervention is comprised of a data-driven system to assign adolescents to care based on their health needs and the different levels of care for each assignment group. The trajectory of services moves from a relative position of ALHIV autonomy to more intensive service provision. Intervention steps start with  multi-month refills or community treatment delivery differentiated care  a standard of care level for those with medical needs such as pregnancy or opportunistic infections or patient choice  patient reminders/tracking and counseling and referral services for mental health needs  case management of unsuppressed individuals, including enhanced counseling and case conference problem-solving"
NCT04772469,Participants will be given multiple Oraquick Advance HIV-1/2 test kits for testing themselves more frequently and for men in their social networks.,0.0,Participants will be given multiple Oraquick Advance HIV-/ test kits for testing themselves more frequently and for men in their social networks.
NCT04588883,Information has been provided in the treatment arm description.,0.0,Information has been provided in the treatment arm description.
NCT04550221,"The components of this intervention are: four weekly in-person sessions with a trained peer intervention specialist; optional additional in-person or by phone check-ins after the in-person sessions are delivered; and optional monthly group sessions. The four in-person health education and coaching sessions will be delivered once per week, by trained peer facilitators who identify as GBMSM. These sessions will focus on the following topics: sexual health basics (understanding how HIV and STIs are transmitted, prevented, and diagnosed/treated), relationships (types of relationships we have, characteristics of healthy relationships, communication skills), stress and coping (understanding mental health challenges, adaptive and maladaptive coping strategies), and healthy sexuality and empowerment (understanding sexual orientation and gender identity, challenging stereotypes about GBMSM, making sexual choices).",0.0,"The components of this intervention are four weekly in-person sessions with a trained peer intervention specialist optional additional in-person or by phone check-ins after the in-person sessions are delivered and optional monthly group sessions. The four in-person health education and coaching sessions will be delivered once per week, by trained peer facilitators who identify as GBMSM. These sessions will focus on the following topics sexual health basics understanding how HIV and STIs are transmitted, prevented, and diagnosed/treated, relationships types of relationships we have, characteristics of healthy relationships, communication skills, stress and coping understanding mental health challenges, adaptive and maladaptive coping strategies, and healthy sexuality and empowerment understanding sexual orientation and gender identity, challenging stereotypes about GBMSM, making sexual choices."
NCT04472884,"Participants randomized to mWACh-PrEP will be registered into the system, in addition to receipt of SOC services. Women registered into the mWACh-PrEP platform will indicate their preferences for message delivery including a preferred name for messaging, language (English or Kiswahili or Dholuo), and day of the week and time for SMS delivery. Once registered, women will receive weekly automated push messages on the day/time of their choice from enrollment through 6-months postpartum. All automated push messages will include participant nickname, clinic and nurse name, an educational message or actionable advice targeting PrEP adherence and continuation and/or maternal and child health (MCH) topics, and a question related to the content. SMS topics will include adherence encouragement, PrEP efficacy and safety, self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills (tips for remembering PrEP medications) and visit reminders.",0.0,"Participants randomized to mWACh-PrEP will be registered into the system, in addition to receipt of SOC services. Women registered into the mWACh-PrEP platform will indicate their preferences for message delivery including a preferred name for messaging, language English or Kiswahili or Dholuo, and day of the week and time for SMS delivery. Once registered, women will receive weekly automated push messages on the day/time of their choice from enrollment through -months postpartum. All automated push messages will include participant nickname, clinic and nurse name, an educational message or actionable advice targeting PrEP adherence and continuation and/or maternal and child health MCH topics, and a question related to the content. SMS topics will include adherence encouragement, PrEP efficacy and safety, self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills tips for remembering PrEP medications and visit reminders."
NCT04437667,"Tumaini is a scenario-based role-playing game application. Participants will be instructed to engage in a minimum of 10 hours of gameplay over the holiday period each year. The game will automatically collect for analysis data related to participants' in-game behavior, e.g. time spent playing, scores on knowledge-based mini-games, choices made in the narrative game, components to which the player was exposed. The game is designed to: educate players about sexual health and HIV/AIDS; build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy; challenge HIV stigma; and promote parent-child dialogue.",0.0,"Tumaini is a scenario-based role-playing game application. Participants will be instructed to engage in a minimum of  hours of gameplay over the holiday period each year. The game will automatically collect for analysis data related to participants' in-game behavior, e.g. time spent playing, scores on knowledge-based mini-games, choices made in the narrative game, components to which the player was exposed. The game is designed to educate players about sexual health and HIV/AIDS build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy challenge HIV stigma and promote parent-child dialogue."
NCT04432571,"Standard of care - routine education and counseling (SOC-REC)/SOC-Outreach and Intensified Counseling (OIC). SOC-REC is a stage 1 intervention to prevent lapses in HIV engagement through routine care. If an adolescent (1) misses an appointment >14 days, or (2) who have unsuppressed HIV RNA as per current MOH viral load threshold or (3) clinically documented non-adherence after >3 months of treatment he/she is re-randomized to a stage 2 intervention. SOC-OIC is a stage 2 intervention to treat lapses in HIV engagement through routine care which may include tracing and counseling to return to the clinic.",0.003289473684210526,"Standard of care routine education and counseling SOC-REC/SOC-Outreach and Intensified Counseling OIC. SOC-REC is a stage  intervention to prevent lapses in HIV engagement through routine care. If an adolescent  misses an appointment > days, or  who have unsuppressed HIV RNA as per current MOH viral load threshold or  clinically documented non-adherence after > months of treatment he/she is re-randomized to a stage  intervention. SOC-OIC is a stage  intervention to treat lapses in HIV engagement through routine care which may include tracing and counseling to return to the clinic."
NCT03988387,"Participants randomized to the PS arm will be assigned a trained peer supporter. The peer supporters (PSr) will establish rapport and build trusting relationships with participants in order to increase self-efficacy and motivation to adhere to the daily PrEP regimen and to engage in HIV prevention behaviors, in general. The PSrs will assess for facilitators and barriers to PrEP adherence, conduct adherence counseling, and provide ongoing social and practical support (e.g. tailored appointment reminders, accompanying participants to medical appointments, and providing skills building for effective relationships with study site providers). PSrs will communicate with the participant on at least a weekly basis either in person or by phone and will track those who miss scheduled study visits. Participants will be encouraged to contact their PSrs in case of questions or concerns. For any clinical question, the peer supporter will direct the participant to the study nurse.",0.0,"Participants randomized to the PS arm will be assigned a trained peer supporter. The peer supporters PSr will establish rapport and build trusting relationships with participants in order to increase self-efficacy and motivation to adhere to the daily PrEP regimen and to engage in HIV prevention behaviors, in general. The PSrs will assess for facilitators and barriers to PrEP adherence, conduct adherence counseling, and provide ongoing social and practical support e.g. tailored appointment reminders, accompanying participants to medical appointments, and providing skills building for effective relationships with study site providers. PSrs will communicate with the participant on at least a weekly basis either in person or by phone and will track those who miss scheduled study visits. Participants will be encouraged to contact their PSrs in case of questions or concerns. For any clinical question, the peer supporter will direct the participant to the study nurse."
NCT03876483,"Intervention package will consist of a WhatsApp group setup and organized by the study. Participants will be divided into 1-3 WhatsApp groups, each with 10-55 youth. Each group will be facilitated by a study staff member trained as a counselor. The facilitator will send weekly messages to the group. Messages from the facilitator will not contain overtly HIV-related language. These messages are intended to spark unstructured discussion among study participants, or with the facilitator, at any time through the WhatsApp group or individually. Subsequent messages from the study will answer participant questions or correct misinformation. Standard operating procedures (SOPs) will be developed for standardizing responses to the questions received so that study staff follow national guidelines and local practice standards to respond.",0.0,"Intervention package will consist of a WhatsApp group setup and organized by the study. Participants will be divided into - WhatsApp groups, each with - youth. Each group will be facilitated by a study staff member trained as a counselor. The facilitator will send weekly messages to the group. Messages from the facilitator will not contain overtly HIV-related language. These messages are intended to spark unstructured discussion among study participants, or with the facilitator, at any time through the WhatsApp group or individually. Subsequent messages from the study will answer participant questions or correct misinformation. Standard operating procedures SOPs will be developed for standardizing responses to the questions received so that study staff follow national guidelines and local practice standards to respond."
NCT03875950,This intervention is a clinician training using standardized patient actors to improve communication and empathy skills of health care workers delivering PrEP to adolescent girls and young women to prevent HIV in Kenya.,0.0,This intervention is a clinician training using standardized patient actors to improve communication and empathy skills of health care workers delivering PrEP to adolescent girls and young women to prevent HIV in Kenya.
NCT03574129,Clinic level intervention composed of an adolescent transition package with tools to support health care workers to disclose HIV status to adolescents and to track transition to adult care.,0.0,Clinic level intervention composed of an adolescent transition package with tools to support health care workers to disclose HIV status to adolescents and to track transition to adult care.
NCT03447210,Contact tracing for sexual and drug-sharing partners to notify about exposure to HIV and offer HIV and hepatitis C testing with linkage to care and partner services for those who test positive.,0.0,Contact tracing for sexual and drug-sharing partners to notify about exposure to HIV and offer HIV and hepatitis C testing with linkage to care and partner services for those who test positive.
NCT03435887,"The investigators will pilot the Alere q HIV-1/2 Detect mobile system for point of care (POC) infant testing at two of the study hospitals. A blood sample will be collected from each HIV-exposed infants at birth (before discharge from Maternity or at first follow-up MCH visit within 14 days postnatal) and at 6-week EID visit (4-8 weeks postnatal) for analysis with Alere q HIV-1/2 Detect, with results available within 1-2 hours to enable mother notification at the same clinic visit.",0.0,"The investigators will pilot the Alere q HIV-/ Detect mobile system for point of care POC infant testing at two of the study hospitals. A blood sample will be collected from each HIV-exposed infants at birth before discharge from Maternity or at first follow-up MCH visit within  days postnatal and at -week EID visit - weeks postnatal for analysis with Alere q HIV-/ Detect, with results available within - hours to enable mother notification at the same clinic visit."
NCT03342027,medication for smoking cessation,0.0,medication for smoking cessation
NCT03054051,"Tumaini is a scenario-based role-playing game application, optimized for use on low-cost Android smartphones. Participants will be invited to play the game for at least ten hours over a period of three weeks. The game is designed to: educate players about sexual health and HIV/AIDS; build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy; challenge HIV stigma and harmful gender norms; and promote parent-child dialogue.",0.0,"Tumaini is a scenario-based role-playing game application, optimized for use on low-cost Android smartphones. Participants will be invited to play the game for at least ten hours over a period of three weeks. The game is designed to educate players about sexual health and HIV/AIDS build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy challenge HIV stigma and harmful gender norms and promote parent-child dialogue."
NCT03049917,Conditional cash transfer upon HIV testing,0.0,Conditional cash transfer upon HIV testing
NCT03030768,"An integrated, phased safer conception intervention that focuses on ART use by the HIV-1 infected partner, PrEP use by the HIV-1 uninfected partner, and timed condomless sex during the peri-conception period.",0.0,"An integrated, phased safer conception intervention that focuses on ART use by the HIV- infected partner, PrEP use by the HIV- uninfected partner, and timed condomless sex during the peri-conception period."
NCT02931422,Conditional cash transfer upon HIV testing,0.0,Conditional cash transfer upon HIV testing
NCT02928900,This intervention is a clinician training using SP actors to improve communication and empathy skills of HIV care providers who serve HIV-positive adolescents and youth in Kenya.,0.0,This intervention is a clinician training using SP actors to improve communication and empathy skills of HIV care providers who serve HIV-positive adolescents and youth in Kenya.
NCT02915367,"Participants will receive daily reminders, with content and timing of their choosing, regarding their PrEP use. Participants will have the choice to later receive SMS reminders only when they forget to take their dose (as indicated by real-time adherence monitoring via WisePill).",0.0,"Participants will receive daily reminders, with content and timing of their choosing, regarding their PrEP use. Participants will have the choice to later receive SMS reminders only when they forget to take their dose as indicated by real-time adherence monitoring via WisePill."
NCT02735642,"Participants will be randomized to receive standard referral to link to HIV care. When successfully linked to care, they will receive SMS reminders combined with health status surveys at 3, 6, 9, and 12 months. All participants will have viral loads and CD4 collected at baseline and at 12 months, viral loads collected again and an exit interview completed.",0.0,"Participants will be randomized to receive standard referral to link to HIV care. When successfully linked to care, they will receive SMS reminders combined with health status surveys at , , , and  months. All participants will have viral loads and CD collected at baseline and at  months, viral loads collected again and an exit interview completed."
NCT02726607,"The HITsystem 2.0 intervention will be designed to: (1) utilize electronic prompts to notify providers and program managers when actions are required, and (2) send text messages to women's mobile phones to (a) motivate adherence to medication, (b) remind women of antenatal (ANC) appointments and medication refills, (c) prompt preparation for a hospital delivery, and (d) support early infant testing. Given advancements in the approach and protocols for care, HITSystem 2.0 will continue to engage mothers and encourage postnatal medication adherence. The researchers will design HITSystem 2.0 to integrate seamlessly into the existing HITSystem to link PMTCT and early infant diagnosis (EID) services through one coordinated system-level intervention.",0.0,"The HITsystem . intervention will be designed to  utilize electronic prompts to notify providers and program managers when actions are required, and  send text messages to women's mobile phones to a motivate adherence to medication, b remind women of antenatal ANC appointments and medication refills, c prompt preparation for a hospital delivery, and d support early infant testing. Given advancements in the approach and protocols for care, HITSystem . will continue to engage mothers and encourage postnatal medication adherence. The researchers will design HITSystem . to integrate seamlessly into the existing HITSystem to link PMTCT and early infant diagnosis EID services through one coordinated system-level intervention."
NCT02627365,"An Individualized, interactive short messaging intervention reminding study participants to take antiretroviral medication and report any problems.",0.0,"An Individualized, interactive short messaging intervention reminding study participants to take antiretroviral medication and report any problems."
NCT02527135,"Weekly HIV sensitization text messages with option to text back up to 3 times per week for additional messages. Message topics included pregnancy, condoms, sexually transmitted infections, contraceptives, anal sex and personal risk of HIV. All messages ended with the phrase ""Get tested for HIV"".",0.0,"Weekly HIV sensitization text messages with option to text back up to  times per week for additional messages. Message topics included pregnancy, condoms, sexually transmitted infections, contraceptives, anal sex and personal risk of HIV. All messages ended with the phrase ""Get tested for HIV""."
NCT02474992,"Individuals randomized to this arm will be invited to recruit members of their social network to form a health team, or microclinic. These groups will proceed through a discussion-based health education curriculum led by local community health workers. Topics will include HIV biology, medications, the importance of social support, and community outreach for reducing HIV stigma. The curriculum will conclude with an opportunity for all group members to disclose their HIV status to one another.",0.0,"Individuals randomized to this arm will be invited to recruit members of their social network to form a health team, or microclinic. These groups will proceed through a discussion-based health education curriculum led by local community health workers. Topics will include HIV biology, medications, the importance of social support, and community outreach for reducing HIV stigma. The curriculum will conclude with an opportunity for all group members to disclose their HIV status to one another."
NCT02338739,"Routine education and counseling (REC) services, delivered per Kenya Ministry of Health Guidelines; followed by standard of care (SOC) outreach to encourage return to clinic for patients 14 days late for a scheduled visit in year 1.",0.0,"Routine education and counseling REC services, delivered per Kenya Ministry of Health Guidelines followed by standard of care SOC outreach to encourage return to clinic for patients  days late for a scheduled visit in year ."
NCT02320799,"Interpersonal psychotherapy is an evidence based, structured, brief psychotherapy which improves relationships in order to improve mood and reduce anxiety",0.0,"Interpersonal psychotherapy is an evidence based, structured, brief psychotherapy which improves relationships in order to improve mood and reduce anxiety"
NCT01962220,"Each newly identified HIV-infected pregnant woman randomized to the experimental arm will be assigned an outreach worker/counselor (Mama Mshauri).

Mama Mshauri tasks will include:

Immediately engaging the newly identified pregnant woman, providing individualized adherence and disclosure support, management of ART side effects, and helping the client navigate the health system.
Providing tailored individualized health education during home visits.

Additional intervention components include:

Appointments and Reminders: SMS or telephone reminders 1 week and 3 days before appointments. Reinforcement of importance of follow-up during home visits and every contact.
Patient Tracking and Defaulter Tracing: Monthly visits and immediate calls/home visit if she misses an appointment.",0.0,"Each newly identified HIV-infected pregnant woman randomized to the experimental arm will be assigned an outreach worker/counselor Mama Mshauri. Mama Mshauri tasks will include Immediately engaging the newly identified pregnant woman, providing individualized adherence and disclosure support, management of ART side effects, and helping the client navigate the health system. Providing tailored individualized health education during home visits. Additional intervention components include Appointments and Reminders SMS or telephone reminders  week and  days before appointments. Reinforcement of importance of follow-up during home visits and every contact. Patient Tracking and Defaulter Tracing Monthly visits and immediate calls/home visit if she misses an appointment."
NCT01947764,"The HADITHI Intervention consists of a culturally adapted, multi-component clinic-based intervention designed to support families in pediatric HIV disclosure in Kenya.

In addition to the Usual Care components, the HADITHI Intervention clinics will have the following intervention components:

Culturally modified curricula materials, including videotaped narratives, to guide counseling and group sessions.

Dedicated disclosure counselors to initiate and conduct disclosure, with one-on-one counseling for caregivers and children, as well as family-based sessions.

Post-disclosure peer support groups, facilitated by the disclosure counselors, for children who have gone through disclosure.",0.0,"The HADITHI Intervention consists of a culturally adapted, multi-component clinic-based intervention designed to support families in pediatric HIV disclosure in Kenya. In addition to the Usual Care components, the HADITHI Intervention clinics will have the following intervention components Culturally modified curricula materials, including videotaped narratives, to guide counseling and group sessions. Dedicated disclosure counselors to initiate and conduct disclosure, with one-on-one counseling for caregivers and children, as well as family-based sessions. Post-disclosure peer support groups, facilitated by the disclosure counselors, for children who have gone through disclosure."
NCT01912521,"Educational program in which HIV positive individuals are invited to recruit their social networks to form 'microclinic' groups. These groups participate in a 6-month educational curriculum composed of information on HIV biology, interpersonal communication strategies and community mobilization. At the conclusion of the program, participants are encouraged to disclose their HIV status to members of their group through a facilitated disclosure process.",0.0,"Educational program in which HIV positive individuals are invited to recruit their social networks to form 'microclinic' groups. These groups participate in a -month educational curriculum composed of information on HIV biology, interpersonal communication strategies and community mobilization. At the conclusion of the program, participants are encouraged to disclose their HIV status to members of their group through a facilitated disclosure process."
