NCTNumber,LeadSponsorName,InterventionDescription,BaselineMeasurePopulationDescription,DesignInterventionModelDescription,InterventionName,PrimaryOutcomeDescription
NCT05285670,University of Washington,"We will utilize a digital counseling tool on a tablet to provide initial reproductive life planning counseling while waiting for an HIV care provider. We will then use Mobile WACh, a human-computer hybrid system that enables seamless two-way SMS communication and patient tracking, to provide consistent support to women following enrollment and for up to 2 years. Women will receive automated theoretically grounded SMS messages targeting the appropriate reproductive health needs and will have the capability to respond and spontaneously message a nurse based at the clinic. . Automated SMS will be delivered at times and in languages based on patient preferences, weekly the first 3 months, every other week in months 4-12, and monthly during the last year of the trial. If there is a change in the reproductive health needs, more frequent messaging will be re-initiated at the same frequency as enrollment.",,"Participants will be randomized to 1) A digital counseling tool plus interactive two-way SMS dialogue or 2) Control (no SMS) at the clinic level, using 1:1 allocation at the clinic level.",Digital counseling plus interactive two-way SMS dialogue,Proportion not using contraception among women who initiated or continued contraception to prevent pregnancy
NCT05219552,"University of California, San Francisco","Our intervention design aims to address food insecurity and mental health by providing an unconditional cash transfer and lactation support across the perinatal period, when women are out of the workforce caring for their infant child. The study will include pregnant women living with HIV in Kisumu Kenya. The lactation support component will focus on milk insufficiency primarily as that has been a main concern of women we've worked with in this population, in addition to general breastfeeding support which will all be delivered in one-on-one sessions with a professional lactation consultant. The cash transfer will be delivered to women from their third trimester to 6 months postpartum. The amount of the cash transfer is based on preliminary data and consultation with key stakeholders to determine a reasonable and sufficient amount to basic living expenses during this period.",,20 participants recruited to the intervention group at one clinic. 20 participants simultaneously recruited to a control group at a different (but matched) clinic.,personalized lactation support,"Patient Health Questionnaire-9: scoring ranges from 0-27 with higher scores indicating greater depressive symptoms.

Perceived Stress Scale: scoring ranges from 0-40 with higher scores indicating higher stress"
NCT05147519,Henry M. Jackson Foundation for the Advancement of Military Medicine,"To establish a group of well-characterized people living with HIV who initiated ART during acute or early HIV transmission that can serve as a source population for future studies, including those designed to test novel interventions to achieve HIV remission.",,,Novel interventions to achieve HIV remission,"For the analysis of the incidence rate, only individuals who are not living with HIV at the baseline exam will be included in the incidence rate analysis.

People without HIV will contribute person-time beginning with the time they enter the study until the study concludes or they are either censored or an HIV transmission event occurs. The event time for each subject is set to the minimum of the HIV transmission event time or the censoring time caused by one of the following: a drop-out event, a death event, or study end event. If one of these censoring events occurs, the censoring time is set to the last time there is recorded data for the subject. If an individual tests positive for HIV during the study, the HIV transmission event time is set to the visit during which the HIV transmission occurred. Those individuals who are lost to follow-up after enrollment will be censored at the last visit."
NCT04982250,Fred Hutchinson Cancer Center,"After a brief training, young female PrEP users will be encouraged to refer up to 4 peers to PrEP using strategies gained from the training, PrEP educational materials (i.e., brochures), HIVST kits (2 kits/peer = 8 kits total), and Kenya MOH-style referral cards.",,"The pilot study will be a single group model (N=104), and the RCT will be a parallel model (N=400).",Formal peer PrEP referral + HIVST delivery,Number of referred peer clients that initiated PrEP
NCT04772469,"University of California, San Francisco",Participants will be given multiple Oraquick Advance HIV-1/2 test kits for testing themselves more frequently and for men in their social networks.,,The study design is a cluster randomized controlled trial where the unit of randomization will be a clusters of men's close social network in study communities.,Provision of multiple self-tests,"Proportion of participants who self-report HIV testing (yes/no) within the past 3 months, measured at 3-month follow-up."
NCT04588883,"The University of Texas Medical Branch, Galveston",Information has been provided in the treatment arm description.,,,Kuja Pamoja - HIV,Viral suppression is measured as an undetectable viral load using standard clinic procedures.
NCT04550221,University of Washington,"The components of this intervention are: four weekly in-person sessions with a trained peer intervention specialist; optional additional in-person or by phone check-ins after the in-person sessions are delivered; and optional monthly group sessions. The four in-person health education and coaching sessions will be delivered once per week, by trained peer facilitators who identify as GBMSM. These sessions will focus on the following topics: sexual health basics (understanding how HIV and STIs are transmitted, prevented, and diagnosed/treated), relationships (types of relationships we have, characteristics of healthy relationships, communication skills), stress and coping (understanding mental health challenges, adaptive and maladaptive coping strategies), and healthy sexuality and empowerment (understanding sexual orientation and gender identity, challenging stereotypes about GBMSM, making sexual choices).",,Pilot study with 10 intervention participants followed by randomized controlled trial with 60 participants assigned to the intervention or to standard care.,Shauriana,All intervention arm participants were invited to provide qualitative feedback on intervention acceptability in an exit interview
NCT04472884,University of Washington,"Participants randomized to mWACh-PrEP will be registered into the system, in addition to receipt of SOC services. Women registered into the mWACh-PrEP platform will indicate their preferences for message delivery including a preferred name for messaging, language (English or Kiswahili or Dholuo), and day of the week and time for SMS delivery. Once registered, women will receive weekly automated push messages on the day/time of their choice from enrollment through 6-months postpartum. All automated push messages will include participant nickname, clinic and nurse name, an educational message or actionable advice targeting PrEP adherence and continuation and/or maternal and child health (MCH) topics, and a question related to the content. SMS topics will include adherence encouragement, PrEP efficacy and safety, self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills (tips for remembering PrEP medications) and visit reminders.",,,mWACh-PrEP,"PrEP adherence will be measured with a binary endpoint (Yes/No) based on hair samples from 6-month postpartum visits. Detectable TFV levels in hair >0.038 ng/mg (consistent with 7 doses/week) will be considered adherent. If a participant stopped PrEP use or exited the study before 6 months postpartum (ie had no hair sample collected), the participant will be considered non-adherent"
NCT04437667,Emory University,"Tumaini is a scenario-based role-playing game application. Participants will be instructed to engage in a minimum of 10 hours of gameplay over the holiday period each year. The game will automatically collect for analysis data related to participants' in-game behavior, e.g. time spent playing, scores on knowledge-based mini-games, choices made in the narrative game, components to which the player was exposed. The game is designed to: educate players about sexual health and HIV/AIDS; build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy; challenge HIV stigma; and promote parent-child dialogue.",,,Tumaini Mobile Phone Game,Age at first sex encounter.
NCT04432571,Washington University School of Medicine,"Standard of care - routine education and counseling (SOC-REC)/SOC-Outreach and Intensified Counseling (OIC). SOC-REC is a stage 1 intervention to prevent lapses in HIV engagement through routine care. If an adolescent (1) misses an appointment >14 days, or (2) who have unsuppressed HIV RNA as per current MOH viral load threshold or (3) clinically documented non-adherence after >3 months of treatment he/she is re-randomized to a stage 2 intervention. SOC-OIC is a stage 2 intervention to treat lapses in HIV engagement through routine care which may include tracing and counseling to return to the clinic.",,,SOC-REC/SOC-OIC,"Experiencing any of the following three events within the first year of follow-up: lapse in retention (defined as 14 days late for a scheduled visit) or unsuppressed HIV RNA following current MOH guidelines during routine monitoring, or death."
NCT03988387,Columbia University,"Participants randomized to the PS arm will be assigned a trained peer supporter. The peer supporters (PSr) will establish rapport and build trusting relationships with participants in order to increase self-efficacy and motivation to adhere to the daily PrEP regimen and to engage in HIV prevention behaviors, in general. The PSrs will assess for facilitators and barriers to PrEP adherence, conduct adherence counseling, and provide ongoing social and practical support (e.g. tailored appointment reminders, accompanying participants to medical appointments, and providing skills building for effective relationships with study site providers). PSrs will communicate with the participant on at least a weekly basis either in person or by phone and will track those who miss scheduled study visits. Participants will be encouraged to contact their PSrs in case of questions or concerns. For any clinical question, the peer supporter will direct the participant to the study nurse.",,,Peer Support (PS),Proportion of participants with ARV in plasma at 12-month visit
NCT03876483,University of Washington,"Intervention package will consist of a WhatsApp group setup and organized by the study. Participants will be divided into 1-3 WhatsApp groups, each with 10-55 youth. Each group will be facilitated by a study staff member trained as a counselor. The facilitator will send weekly messages to the group. Messages from the facilitator will not contain overtly HIV-related language. These messages are intended to spark unstructured discussion among study participants, or with the facilitator, at any time through the WhatsApp group or individually. Subsequent messages from the study will answer participant questions or correct misinformation. Standard operating procedures (SOPs) will be developed for standardizing responses to the questions received so that study staff follow national guidelines and local practice standards to respond.",,Facilities randomized to receive the behavioral intervention or standard of care,Virtual peer support group,Transition readiness assessment questionnaire
NCT03875950,University of Washington,This intervention is a clinician training using standardized patient actors to improve communication and empathy skills of health care workers delivering PrEP to adolescent girls and young women to prevent HIV in Kenya.,,,Clinician training intervention,Quality is assessed as total score from a checklist provided by the SPs after each unannounced visit (n=71 SP visits in each arm) including domains of communication skills and adherence to national guidelines. Communication quality is assessed in an adapted version of the Bayer-Fetzer Kalamazoo Consensus Statement; scores range from 7-28 with higher scores indicating higher quality communication. Guideline adherence is assessed in a scoring system adapted from the Kenyan National AIDS & STI Control Programme guidelines; scores range from 0-13 with higher scores indicating higher PrEP competency. Each measure is computed as a percent of total score possible. The total quality score will be a combined continuous score and rescaled out of 100 per unannounced SP visit. Mean scores among all SP encounters taking place in facilities randomized to the clinical intervention will be compared to mean scores among those randomized to standard of care.
NCT03574129,University of Washington,Clinic level intervention composed of an adolescent transition package with tools to support health care workers to disclose HIV status to adolescents and to track transition to adult care.,Scores are aggregate of total domain scores. Some participants did not respond to all the questions in the score.,An adolescent transition package composed of a disclosure booklet and transition tool,Adolescent Transition Package,"The scale name is the ""Taking Charge transition readiness assessment"". The scale measures readiness to transition to adult care. The scale has questions measuring attainment of knowledge and skills to navigate adult care systems. The scale is divided into 4 domains: HIV literacy (maximum score is 5, minimum 0), self-management (maximum score is 9, minimum 0), communication (maximum score is 5, minimum is 0) and support (maximum score 3, minimum is 0). The higher the score the more prepared an adolescent is to transition to adult care. For this outcome, scores across all domains will be summed to get a total readiness score (maximum score 22, minimum 0)."
NCT03447210,University of Washington,Contact tracing for sexual and drug-sharing partners to notify about exposure to HIV and offer HIV and hepatitis C testing with linkage to care and partner services for those who test positive.,,Prospective cohort study with nested cross-sectional studies,Assisted Partner Services,Numbers of sexual partners tested for HIV and HCV per index participant
NCT03435887,University of Kansas Medical Center,"The investigators will pilot the Alere q HIV-1/2 Detect mobile system for point of care (POC) infant testing at two of the study hospitals. A blood sample will be collected from each HIV-exposed infants at birth (before discharge from Maternity or at first follow-up MCH visit within 14 days postnatal) and at 6-week EID visit (4-8 weeks postnatal) for analysis with Alere q HIV-1/2 Detect, with results available within 1-2 hours to enable mother notification at the same clinic visit.",,,Alere q HIV-1/2 Detect for point of care infant testing,The proportion of infants receiving HIV testing (POC and/or PCR) during the birth testing window
NCT03342027,"University of Maryland, Baltimore",medication for smoking cessation,,4 conditions: (1) bupropion + Positively Smoke Free (an 8 session tailored behavioral intervention for PLWH smokers); (2) bupropion + Standard of Care (brief advice to quit); (3) Placebo + Positively Smoke Free; and (4) Placebo + Standard of Care.,Bupropion,defined as self-reported no smoking in the past 7 days + CO<7 ppm
NCT03054051,Emory University,"Tumaini is a scenario-based role-playing game application, optimized for use on low-cost Android smartphones. Participants will be invited to play the game for at least ten hours over a period of three weeks. The game is designed to: educate players about sexual health and HIV/AIDS; build risk-reduction skills and related self-efficacy for prevention of HIV/STIs and unintended pregnancy; challenge HIV stigma and harmful gender norms; and promote parent-child dialogue.",Race and Ethnicity were not collected from any participant.,,Tumaini Mobile Phone Game,"To evaluate the feasibility of conducting a technology based intervention in a low resource area, the number of eligible individuals who were interested in participating after hearing about the study was examined. Letters were sent to 150 families inviting them to attend an informational meeting and 126 attended a meeting and were assess for eligibility."
NCT03049917,University of Washington,Conditional cash transfer upon HIV testing,,,Financial incentive,Number of caregivers who present child(ren) to complete HIV testing at the study clinic within 2 months of recruitment; test results will be recorded in a study questionnaire
NCT03030768,University of Washington,"An integrated, phased safer conception intervention that focuses on ART use by the HIV-1 infected partner, PrEP use by the HIV-1 uninfected partner, and timed condomless sex during the peri-conception period.",,,PrEP,Rate of pregnancy that occur without HIV-1 transmission to the uninfected partner
NCT02931422,University of Washington,Conditional cash transfer upon HIV testing,,,Financial incentive,% of parents completing pediatric HIV testing within 2 months will be compared between arms.
NCT02928900,University of Washington,This intervention is a clinician training using SP actors to improve communication and empathy skills of HIV care providers who serve HIV-positive adolescents and youth in Kenya.,,,Clinician training intervention,"The primary outcome is change in retention in HIV care between the intervention and control periods, where retention is defined as return for first follow-up visit within 3 months among newly enrolled adolescent clients OR follow-up visit after 're-engagement visit' (after lost-to-follow-up for >90 days since last visit, with no record of death or transfer)."
NCT02915367,Massachusetts General Hospital,"Participants will receive daily reminders, with content and timing of their choosing, regarding their PrEP use. Participants will have the choice to later receive SMS reminders only when they forget to take their dose (as indicated by real-time adherence monitoring via WisePill).",,,SMS Reminders,Comparison of average percent adherence (doses taken/doses prescribed) by study arm at each time point among participants choosing to pick up PrEP.
NCT02735642,Yale University,"Participants will be randomized to receive standard referral to link to HIV care. When successfully linked to care, they will receive SMS reminders combined with health status surveys at 3, 6, 9, and 12 months. All participants will have viral loads and CD4 collected at baseline and at 12 months, viral loads collected again and an exit interview completed.",,Adaptive linkage to care interventions for newly diagnosed HIV-positive participants. Total N recruited will depend on HIV prevalence found in the study.,SMART Randomization 1 - Referral,Our primary outcome for comparisons of recruitment and testing strategies was the number of newly diagnosed adolescent girls and young women living with HIV.
NCT02726607,University of Kansas Medical Center,"The HITsystem 2.0 intervention will be designed to: (1) utilize electronic prompts to notify providers and program managers when actions are required, and (2) send text messages to women's mobile phones to (a) motivate adherence to medication, (b) remind women of antenatal (ANC) appointments and medication refills, (c) prompt preparation for a hospital delivery, and (d) support early infant testing. Given advancements in the approach and protocols for care, HITSystem 2.0 will continue to engage mothers and encourage postnatal medication adherence. The researchers will design HITSystem 2.0 to integrate seamlessly into the existing HITSystem to link PMTCT and early infant diagnosis (EID) services through one coordinated system-level intervention.",,We employed a matched randomized pilot study design in two government hospitals; one randomized to receive the HITSystem 2.0 intervention while the other maintained standard of care PMTCT services.,HIV Infant Tracking System (HITSystem) 2.0,"The primary outcome is retention (complete or incomplete), measured from first PMTCT appointment until HIV status determination of the HIV-exposed infant at 12 weeks postnatal. This aggregate outcome includes completion of several intermediate outcomes throughout the PMTCT cascade of care, including: ART initiation (if not already on ART at time of pregnancy) (Yes/No), attendance at PMTCT appointments (Yes/No), a hospital delivery (Yes/No), infant enrollment in EID prior to hospital discharge (Yes/No), infant blood sample collected and HIV DNA PCR test result obtained (Yes/No). Complete retention requires completion of all of these steps."
NCT02718456,University of Washington,,,,Expedited CD4 testing,"An interviewer administered questionnaire will be used to determine if each participant visited a comprehensive care center. Is so, the date of the first visit will be recorded. From this, the time from enrollment until first visit to a comprehensive care center will be calculated."
NCT02627365,University of Washington,"An Individualized, interactive short messaging intervention reminding study participants to take antiretroviral medication and report any problems.",,,"Individualized, interactive short messaging intervention",The plasma HIV-1 viral load will be compared between participants in the intervention and in the non-intervention arm.
NCT02527135,University of Washington,"Weekly HIV sensitization text messages with option to text back up to 3 times per week for additional messages. Message topics included pregnancy, condoms, sexually transmitted infections, contraceptives, anal sex and personal risk of HIV. All messages ended with the phrase ""Get tested for HIV"".",,,Weekly HIV sensitization text messages,Time to first reported HIV test will be compared between the two study arms
NCT02474992,"University of California, San Francisco","Individuals randomized to this arm will be invited to recruit members of their social network to form a health team, or microclinic. These groups will proceed through a discussion-based health education curriculum led by local community health workers. Topics will include HIV biology, medications, the importance of social support, and community outreach for reducing HIV stigma. The curriculum will conclude with an opportunity for all group members to disclose their HIV status to one another.",,,Microclinic,Incidence of 90-day absence from care following a missed appointment
NCT02400671,University of Washington,,Race and Ethnicity were not collected from any participant.,,SMS messaging,Prevalence of virologic failure (HIV RNA ≥1000 c/ml) after the first 4 months post-ART will be compared between study arms using Generalized Estimating Equations (GEE) with log-binomial link.
NCT02338739,"University of California, San Francisco","Routine education and counseling (REC) services, delivered per Kenya Ministry of Health Guidelines; followed by standard of care (SOC) outreach to encourage return to clinic for patients 14 days late for a scheduled visit in year 1.",,,REC; Outreach if Failure,Fraction of time in care
NCT02320799,"University of California, San Francisco","Interpersonal psychotherapy is an evidence based, structured, brief psychotherapy which improves relationships in order to improve mood and reduce anxiety",,,interpersonal psychotherapy,structured clinical interview: Composite International Diagnostic Interview (CIDI)
NCT01962220,Columbia University,"Each newly identified HIV-infected pregnant woman randomized to the experimental arm will be assigned an outreach worker/counselor (Mama Mshauri).

Mama Mshauri tasks will include:

Immediately engaging the newly identified pregnant woman, providing individualized adherence and disclosure support, management of ART side effects, and helping the client navigate the health system.
Providing tailored individualized health education during home visits.

Additional intervention components include:

Appointments and Reminders: SMS or telephone reminders 1 week and 3 days before appointments. Reinforcement of importance of follow-up during home visits and every contact.
Patient Tracking and Defaulter Tracing: Monthly visits and immediate calls/home visit if she misses an appointment.",,,Study Intervention for Retention (APFU),Mother/infant attrition at 6 months postpartum
NCT01947764,Indiana University,"The HADITHI Intervention consists of a culturally adapted, multi-component clinic-based intervention designed to support families in pediatric HIV disclosure in Kenya.

In addition to the Usual Care components, the HADITHI Intervention clinics will have the following intervention components:

Culturally modified curricula materials, including videotaped narratives, to guide counseling and group sessions.

Dedicated disclosure counselors to initiate and conduct disclosure, with one-on-one counseling for caregivers and children, as well as family-based sessions.

Post-disclosure peer support groups, facilitated by the disclosure counselors, for children who have gone through disclosure.",,,HADITHI Intervention,Percent of children (ages 10-15) documented as knowing their HIV status; Percent knowing why they take medicines; Percent knowing why they attend AMPATH clinic
NCT01912521,"University of California, San Francisco","Educational program in which HIV positive individuals are invited to recruit their social networks to form 'microclinic' groups. These groups participate in a 6-month educational curriculum composed of information on HIV biology, interpersonal communication strategies and community mobilization. At the conclusion of the program, participants are encouraged to disclose their HIV status to members of their group through a facilitated disclosure process.",,,Mfangano Health Net Microclinic Program,change in ART drug levels measured in small hair samples from baseline to 6 months
NCT01876199,University of Oxford,,,,intense follow up,
NCT01850576,North Bronx Healthcare Network,"STEP is based on social learning theory and provides age-appropriate and culturally acceptable HIV prevention information in a format that encourages information growth and skills enhancement. The program is delivered by 'Instructors,' undergraduate college students aged 18-24, one hour per week for 10 weeks.",,,Risk Reduction Intervention,"Feasibility of implementing project STEP will be measured by acceptance and participation rates. Evaluation outputs include:

Efficiency: Number of eligible participants, number randomized into each age and experimental group,
Acceptance rates (number of people who agree to participate in program; number who complete the whole 10 week program);
Population characteristics: We will describe the demographic and behavioural profiles of those who participated in the program and those who refuse; the level of HIV knowledge, self efficacy and satisfaction with the program.
Satisfaction/acceptability: College student recruitment, receptivity and satisfaction with the project; implementation issues and resource use"
NCT01784783,University of Washington,"If the male partner chooses not to complete the study questionnaire, he may decline and participate only in the HOPE intervention component of the study. (This does not preclude the possibility of the female partner continuing to participate in the study.) Investigators anticipate that this will occur and also expect that some women and male partners randomized to the intervention arm will refuse the HOPE intervention when offered. Study staff will attempt to collect data on reasons for refusal to participate and will continue to follow these couples through 6 months postpartum to collect maternal and infant outcome data, provided the female partner does not withdraw from the study.

Key educational messages will be presented using an electronic tablet highlighting key messages and will include with relevant images as visual aids. This will help to facilitate comprehension and ensure that all relevant materials are covered during each intervention session.",,,HOPE Intervention,"For both arms, male partners will be asked to report whether they received HIV testing during the course of the study."
NCT01756469,FHI 360,Behavioral Intervention for Alcohol Use,,,Behavioral Intervention for Alcohol Use,Outcomes assessed at up to 12 months follow-ups
NCT01645865,Elizabeth Glaser Pediatric AIDS Foundation,"Health facilities where PMTCT services are available in the traditional clinical setting with HIV testing and counseling, PMTCT support, and enrollment in care and treatment.",,,Control,
NCT01630304,University of British Columbia,"Weekly text message ""Mambo?"" (""How are you?"") to which participants are required to respond either ""Shida"" (problem) or ""Sawa"" (OK) within 48 hours. Shida responses and participants who do not respond are called by a clinician.",,,WelTel SMS service,
NCT01557998,Yale University,"HIV-positives will receive prevention with positives (PwP) counseling and point of care CD4 counts. Those with CD4 <500/μL will be assigned a peer case manager to link the person to ART at study-participating HIV clinics, support ART and PwP adherence and care retention.",,,POC CD4 and Peer Case Management,Use of rapid CD4 assays to reduce time from HIV diagnosis to ART initiation
NCT01571128,New York University,Combination HIV Prevention: Male-Specific Intervention Package at the Mobile Health events and longitudinal follow up of cohorts.,,,Male-Specific Intervention Package,"Coverage: The proportion of youth in the community who attend each mobile event (estimated from youth population denominator)
Enrollment: The number of participants who consent to being enrolled in the study during each mobile event.
Uptake: The number of participants who choose one or more components of their tailored combination package (and which components).
Intervention Acceptability: Satisfaction with mobile event services"
NCT01503255,Brown University,6 weekly 90-minute group sessions,,,cognitive behavioral group therapy,"The Timeline Followback is a well-established, reliable and valid retrospective calendar-based measure employing memory cues to assess alcohol use. The primary hypothesis is that CBT will be more effective than HL in reducing alcohol use (percent drinking days) from baseline (past 30 days) through the 6-week active treatment phase. The secondary hypothesis is that CBT will be more effective than HL in reducing alcohol use (percent drinking days) from baseline through the 9-month post-intervention follow-up. Results will be analyzed in a longitudinal model."
NCT01501864,Pacific Institute for Research and Evaluation,"Comprehensive school support is provided that includes payment of school fees, school uniform, and a nurse researcher who monitors attendance and addresses problems that may lead to school absence and dropout.",,,School Support Intervention,
